ell	D_ell_TT
700.0	1835.87426
701.0	1867.00295
702.0	1984.70412
703.0	1976.50572
704.0	1976.81227
705.0	1801.55002
706.0	1810.2166
707.0	1813.6806
708.0	1942.8154
709.0	1869.14561
710.0	1870.06777
711.0	1980.36307
712.0	1901.29306
713.0	1920.5018
714.0	1876.40958
715.0	1681.52156
716.0	2001.09452
717.0	2001.71579
718.0	1806.58227
719.0	2035.80067
720.0	1958.32914
721.0	1810.33962
722.0	1941.97584
723.0	2205.26033
724.0	2072.59272
725.0	2066.58343
726.0	1975.08134
727.0	1977.91685
728.0	1992.07342
729.0	1928.71313
730.0	1735.32064
731.0	2038.45105
732.0	2112.84182
733.0	2035.27829
734.0	2220.85712
735.0	1946.14531
736.0	2179.63967
737.0	2157.57531
738.0	2045.01123
739.0	1983.19589
740.0	1967.35965
741.0	2242.43535
742.0	2360.2319
743.0	2130.30703
744.0	2164.02228
745.0	2249.89676
746.0	2223.76666
747.0	2360.53936
748.0	2410.19547
749.0	2395.82539
750.0	2223.7478
751.0	2309.99437
752.0	2029.03146
753.0	2267.48892
754.0	2256.32752
755.0	2177.40383
756.0	2304.69601
757.0	2517.91808
758.0	2265.37361
759.0	2275.05951
760.0	2277.02097
761.0	2478.61467
762.0	2289.14207
763.0	2296.64563
764.0	2419.03176
765.0	2279.49845
766.0	2283.95078
767.0	2309.93535
768.0	2258.76301
769.0	2528.92546
770.0	2272.15973
771.0	2505.39638
772.0	2299.77431
773.0	2326.02526
774.0	2358.15354
775.0	2351.96953
776.0	2324.80814
777.0	2475.56801
778.0	2262.73496
779.0	2310.2152
780.0	2414.32605
781.0	2276.36741
782.0	2506.82979
783.0	2266.34791
784.0	2306.9583
785.0	2750.03218
786.0	2586.41603
787.0	2489.16278
788.0	2506.98103
789.0	2416.48582
790.0	2357.90901
791.0	2611.53407
792.0	2322.28555
793.0	2445.8747
794.0	2430.61442
795.0	2453.84382
796.0	2483.65155
797.0	2510.91372
798.0	2538.53177
799.0	2566.30495
800.0	2529.00418
801.0	2266.28011
802.0	2485.5942
803.0	2583.05344
804.0	2388.08246
805.0	2440.10757
806.0	2433.77534
807.0	2576.9292
808.0	2520.27833
809.0	2446.6831
810.0	2599.15433
811.0	2471.72452
812.0	2727.51336
813.0	2603.96533
814.0	2508.8269
815.0	2498.2177
816.0	2576.29357
817.0	2507.61524
818.0	2345.9759
819.0	2742.24524
820.0	2477.61237
821.0	2483.08733
822.0	2494.11957
823.0	2599.36245
824.0	2539.82056
825.0	2473.81338
826.0	2355.44442
827.0	2677.68077
828.0	2620.50146
829.0	2624.1584
830.0	2415.96753
831.0	2601.43037
832.0	2312.0784
833.0	2456.13809
834.0	2592.66584
835.0	2550.88864
836.0	2382.24815
837.0	2548.34298
838.0	2384.90035
839.0	2460.61279
840.0	2413.53254
841.0	2568.20533
842.0	2547.54461
843.0	2572.5185
844.0	2711.79696
845.0	2391.93233
846.0	2509.71594
847.0	2247.64777
848.0	2434.32156
849.0	2369.0749
850.0	2311.71114
851.0	2503.64233
852.0	2236.87491
853.0	2489.11257
854.0	2453.92848
855.0	2437.44313
856.0	2473.72026
857.0	2294.9025
858.0	2387.66793
859.0	2191.55825
860.0	2478.08398
861.0	2401.41803
862.0	2186.84444
863.0	2316.64539
864.0	2477.93573
865.0	2224.91878
866.0	2407.83481
867.0	2369.14796
868.0	2304.88236
869.0	2086.98702
870.0	2134.60942
871.0	2241.75521
872.0	2214.43193
873.0	2182.46751
874.0	2450.43087
875.0	2166.18972
876.0	2205.90745
877.0	2318.629
878.0	2061.01844
879.0	2094.53415
880.0	2146.06686
881.0	1985.36148
882.0	2112.97768
883.0	1941.02034
884.0	1995.63105
885.0	2222.51462
886.0	2132.68665
887.0	2148.63525
888.0	2083.8963
889.0	1981.18848
890.0	2098.47016
891.0	2080.48876
892.0	1980.67137
893.0	2093.99257
894.0	1998.54918
895.0	2099.63974
896.0	1836.16815
897.0	1899.34894
898.0	1825.42983
899.0	1749.52116
900.0	2060.6279
901.0	1833.54412
902.0	1861.54606
903.0	2149.776
904.0	1727.42078
905.0	1749.00096
906.0	1897.92394
907.0	1845.9423
908.0	1833.1413
909.0	1719.38548
910.0	1604.39353
911.0	1911.90601
912.0	1695.98135
913.0	1854.09135
914.0	1659.21107
915.0	1655.78762
916.0	1835.71003
917.0	1774.46439
918.0	1744.74539
919.0	1669.12796
920.0	1807.99084
921.0	1799.53527
922.0	1599.60515
923.0	1603.65967
924.0	1451.6385
925.0	1397.53617
926.0	1712.92162
927.0	1536.38915
928.0	1525.77882
929.0	1689.05573
930.0	1652.54111
931.0	1642.93292
932.0	1642.59316
933.0	1480.81904
934.0	1557.55813
935.0	1375.79766
936.0	1508.14661
937.0	1447.5514
938.0	1434.71767
939.0	1658.28066
940.0	1337.15787
941.0	1437.74295
942.0	1461.38956
943.0	1391.49007
944.0	1342.49493
945.0	1434.62577
946.0	1375.43805
947.0	1299.72976
948.0	1316.9605
949.0	1312.07274
950.0	1405.41617
951.0	1445.58529
952.0	1257.76536
953.0	1344.3974
954.0	1338.84836
955.0	1294.59586
956.0	1298.77904
957.0	1459.95945
958.0	1352.58994
959.0	1241.51764
960.0	1301.98494
961.0	1274.38303
962.0	1229.0883
963.0	1138.60832
964.0	1268.30657
965.0	1118.65392
966.0	1248.21985
967.0	1254.84364
968.0	1293.57405
969.0	1272.57419
970.0	1190.26002
971.0	1227.86589
972.0	1226.91501
973.0	1115.61973
974.0	1116.88249
975.0	1192.3919
976.0	1082.91674
977.0	1121.09888
978.0	1198.78897
979.0	1066.16389
980.0	1128.53157
981.0	1146.35555
982.0	1128.8065
983.0	1128.77109
984.0	1153.03309
985.0	1098.1921
986.0	1148.5355
987.0	1112.92892
988.0	1069.3314
989.0	1126.68422
990.0	975.289905
991.0	1088.73935
992.0	1213.14443
993.0	1155.01816
994.0	1121.55701
995.0	1035.66471
996.0	1012.29964
997.0	1092.78189
998.0	1030.02373
999.0	1049.73285
1000.0	971.174525
1001.0	1052.10965
1002.0	1014.32757
1003.0	1112.06048
1004.0	1019.71006
1005.0	1035.04841
1006.0	1002.22509
1007.0	1053.8307
1008.0	972.790061
1009.0	1100.09203
1010.0	1123.80778
1011.0	1076.14124
1012.0	952.168563
1013.0	1083.62226
1014.0	1135.40978
1015.0	1116.01655
1016.0	1059.78433
1017.0	1090.40197
1018.0	953.874082
1019.0	1166.2017
1020.0	981.332065
1021.0	1022.02665
1022.0	1044.34978
1023.0	1010.74681
1024.0	1077.99882
1025.0	984.484539
1026.0	1058.52804
1027.0	963.715082
1028.0	1059.96039
1029.0	1024.37
1030.0	1005.07403
1031.0	1007.92737
1032.0	1057.28303
1033.0	1071.36592
1034.0	1104.73248
1035.0	1084.77202
1036.0	1011.39937
1037.0	994.481007
1038.0	1103.58652
1039.0	1102.10034
1040.0	1085.02281
1041.0	1084.76609
1042.0	991.236613
1043.0	1001.2733
1044.0	1134.76802
1045.0	1017.10661
1046.0	1078.14251
1047.0	1068.13914
1048.0	1025.22663
1049.0	1173.36282
1050.0	1072.26636
1051.0	1074.93779
1052.0	1123.81429
1053.0	1110.39398
1054.0	1170.49933
1055.0	1049.02911
1056.0	1110.93708
1057.0	1064.8098
1058.0	1185.48629
1059.0	1255.89043
1060.0	1177.58282
1061.0	1087.42018
1062.0	1082.22795
1063.0	1070.4242
1064.0	1002.62939
1065.0	1154.46862
1066.0	1157.05873
1067.0	1160.27372
1068.0	1141.99638
1069.0	1184.07686
1070.0	1129.30909
1071.0	1120.77403
1072.0	1060.59009
1073.0	1152.06721
1074.0	1205.92908
1075.0	1164.70655
1076.0	1228.73269
1077.0	1143.11913
1078.0	1091.31094
1079.0	1231.06567
1080.0	1114.58553
1081.0	1127.1412
1082.0	1229.46054
1083.0	1249.80673
1084.0	1280.367
1085.0	1205.75815
1086.0	1250.65647
1087.0	1311.8606
1088.0	1049.68835
1089.0	1248.90202
1090.0	1273.06273
1091.0	1187.59021
1092.0	1251.496
1093.0	1282.96499
1094.0	1145.09457
1095.0	1252.19603
1096.0	1099.59128
1097.0	1203.24746
1098.0	1262.17468
1099.0	1118.36169
1100.0	1289.74023
1101.0	1274.20578
1102.0	1165.14373
1103.0	1283.46486
1104.0	1222.33074
1105.0	1223.05357
1106.0	1076.28634
1107.0	1264.10531
1108.0	1200.04954
1109.0	1181.36066
1110.0	1299.10067
1111.0	1192.3846
1112.0	1209.50608
1113.0	1287.96038
1114.0	1163.7161
